"Points:0","Points:1","Points:2","forces:0","forces:1","forces:2","radii","GlyphVector:0","GlyphVector:1","GlyphVector:2","Normals:0","Normals:1","Normals:2"
0,0,1e-10,0,0,0,0,0,0,0,0,0,1
0,0,-1e-10,0,0,0,0,0,0,0,0,0,-1
4.3388e-11,0,9.0097e-11,0,0,0,0,0,0,0,0.43388,0,0.90097
7.8183e-11,0,6.2349e-11,0,0,0,0,0,0,0,0.78183,0,0.62349
9.7493e-11,0,2.2252e-11,0,0,0,0,0,0,0,0.97493,0,0.22252
9.7493e-11,0,-2.2252e-11,0,0,0,0,0,0,0,0.97493,0,-0.22252
7.8183e-11,0,-6.2349e-11,0,0,0,0,0,0,0,0.78183,0,-0.62349
4.3388e-11,0,-9.0097e-11,0,0,0,0,0,0,0,0.43388,0,-0.90097
3.068e-11,3.068e-11,9.0097e-11,0,0,0,0,0,0,0,0.3068,0.3068,0.90097
5.5284e-11,5.5284e-11,6.2349e-11,0,0,0,0,0,0,0,0.55284,0.55284,0.62349
6.8938e-11,6.8938e-11,2.2252e-11,0,0,0,0,0,0,0,0.68938,0.68938,0.22252
6.8938e-11,6.8938e-11,-2.2252e-11,0,0,0,0,0,0,0,0.68938,0.68938,-0.22252
5.5284e-11,5.5284e-11,-6.2349e-11,0,0,0,0,0,0,0,0.55284,0.55284,-0.62349
3.068e-11,3.068e-11,-9.0097e-11,0,0,0,0,0,0,0,0.3068,0.3068,-0.90097
2.6568e-27,4.3388e-11,9.0097e-11,0,0,0,0,0,0,0,2.6568e-17,0.43388,0.90097
4.7873e-27,7.8183e-11,6.2349e-11,0,0,0,0,0,0,0,4.7873e-17,0.78183,0.62349
5.9697e-27,9.7493e-11,2.2252e-11,0,0,0,0,0,0,0,5.9697e-17,0.97493,0.22252
5.9697e-27,9.7493e-11,-2.2252e-11,0,0,0,0,0,0,0,5.9697e-17,0.97493,-0.22252
4.7873e-27,7.8183e-11,-6.2349e-11,0,0,0,0,0,0,0,4.7873e-17,0.78183,-0.62349
2.6568e-27,4.3388e-11,-9.0097e-11,0,0,0,0,0,0,0,2.6568e-17,0.43388,-0.90097
-3.068e-11,3.068e-11,9.0097e-11,0,0,0,0,0,0,0,-0.3068,0.3068,0.90097
-5.5284e-11,5.5284e-11,6.2349e-11,0,0,0,0,0,0,0,-0.55284,0.55284,0.62349
-6.8938e-11,6.8938e-11,2.2252e-11,0,0,0,0,0,0,0,-0.68938,0.68938,0.22252
-6.8938e-11,6.8938e-11,-2.2252e-11,0,0,0,0,0,0,0,-0.68938,0.68938,-0.22252
-5.5284e-11,5.5284e-11,-6.2349e-11,0,0,0,0,0,0,0,-0.55284,0.55284,-0.62349
-3.068e-11,3.068e-11,-9.0097e-11,0,0,0,0,0,0,0,-0.3068,0.3068,-0.90097
-4.3388e-11,5.3135e-27,9.0097e-11,0,0,0,0,0,0,0,-0.43388,5.3135e-17,0.90097
-7.8183e-11,9.5747e-27,6.2349e-11,0,0,0,0,0,0,0,-0.78183,9.5747e-17,0.62349
-9.7493e-11,1.1939e-26,2.2252e-11,0,0,0,0,0,0,0,-0.97493,1.1939e-16,0.22252
-9.7493e-11,1.1939e-26,-2.2252e-11,0,0,0,0,0,0,0,-0.97493,1.1939e-16,-0.22252
-7.8183e-11,9.5747e-27,-6.2349e-11,0,0,0,0,0,0,0,-0.78183,9.5747e-17,-0.62349
-4.3388e-11,5.3135e-27,-9.0097e-11,0,0,0,0,0,0,0,-0.43388,5.3135e-17,-0.90097
-3.068e-11,-3.068e-11,9.0097e-11,0,0,0,0,0,0,0,-0.3068,-0.3068,0.90097
-5.5284e-11,-5.5284e-11,6.2349e-11,0,0,0,0,0,0,0,-0.55284,-0.55284,0.62349
-6.8938e-11,-6.8938e-11,2.2252e-11,0,0,0,0,0,0,0,-0.68938,-0.68938,0.22252
-6.8938e-11,-6.8938e-11,-2.2252e-11,0,0,0,0,0,0,0,-0.68938,-0.68938,-0.22252
-5.5284e-11,-5.5284e-11,-6.2349e-11,0,0,0,0,0,0,0,-0.55284,-0.55284,-0.62349
-3.068e-11,-3.068e-11,-9.0097e-11,0,0,0,0,0,0,0,-0.3068,-0.3068,-0.90097
-7.9703e-27,-4.3388e-11,9.0097e-11,0,0,0,0,0,0,0,-7.9703e-17,-0.43388,0.90097
-1.4362e-26,-7.8183e-11,6.2349e-11,0,0,0,0,0,0,0,-1.4362e-16,-0.78183,0.62349
-1.7909e-26,-9.7493e-11,2.2252e-11,0,0,0,0,0,0,0,-1.7909e-16,-0.97493,0.22252
-1.7909e-26,-9.7493e-11,-2.2252e-11,0,0,0,0,0,0,0,-1.7909e-16,-0.97493,-0.22252
-1.4362e-26,-7.8183e-11,-6.2349e-11,0,0,0,0,0,0,0,-1.4362e-16,-0.78183,-0.62349
-7.9703e-27,-4.3388e-11,-9.0097e-11,0,0,0,0,0,0,0,-7.9703e-17,-0.43388,-0.90097
3.068e-11,-3.068e-11,9.0097e-11,0,0,0,0,0,0,0,0.3068,-0.3068,0.90097
5.5284e-11,-5.5284e-11,6.2349e-11,0,0,0,0,0,0,0,0.55284,-0.55284,0.62349
6.8938e-11,-6.8938e-11,2.2252e-11,0,0,0,0,0,0,0,0.68938,-0.68938,0.22252
