"Points:0","Points:1","Points:2","forces:0","forces:1","forces:2","radii"
0,0,0,0,0,0,0
38.145,13.233,2,-0.0051598,0.011483,0,4.35
58.172,13.29,2,-0.0025739,0.007611,0,4.35
81.416,4.35,2,-0.00014196,0.00027959,0,4.35
140.39,4.35,2,0.011591,-0.0087924,0,4.35
148.92,4.3675,2,-0.038814,0.010725,0,4.35
19.659,9.8314,2,0.0015021,0.0020273,0,2.95
31.475,8.2625,2,-2.2221e-06,0.00014707,0,2.95
140.04,11.65,2,-0.0027413,0.0074621,0,2.95
175.51,6.7881,2,-0.0013594,0.0038646,0,2.95
9.1024,2.95,2,-0.00011315,-0.0018868,0,2.95
190.64,13.091,2,-0.00059944,0.0038688,0,2.95
